unix_ns,elapsed_ms,current_gfxclk_mhz,average_gfxclk_mhz,current_uclk_mhz,average_uclk_mhz,average_socket_power_w
1789863524157535680,12400.663895,2524,2524,1258,2517,284
1789863524257666813,12500.794197,1733,1733,875,2473,99
1789863524357596651,12600.724255,2814,2814,1258,2416,101
1789863524457571697,12700.700023,3207,3207,1258,2517,113
1789863524558015436,12801.14285,1410,1410,96,1945,65
1789863524658124030,12901.251384,0,0,96,193,19
1789863524757756166,13000.88344,0,0,96,193,19
1789863524857750281,13100.877605,0,0,96,193,19
1789863524958049642,13201.176996,0,0,96,193,19
1789863525058162590,13301.289924,0,0,96,193,19
1789863525158079476,13401.20703,0,0,96,193,19
1789863525258092137,13501.219491,0,0,96,193,19
1789863525357952151,13601.079795,0,0,96,193,19
1789863525458016731,13701.144245,0,0,96,193,19
1789863525558008164,13801.135458,0,0,96,193,19
1789863525658157605,13901.284919,0,0,96,193,19
1789863525757783393,14000.910847,0,0,96,193,19
1789863525858014048,14101.141262,0,0,96,193,19
1789863525958014240,14201.141354,0,0,96,193,19
1789863526057973464,14301.101058,0,0,96,193,19
1789863526158007694,14401.135048,0,0,96,193,19
1789863526258027173,14501.154507,0,0,96,193,19
1789863526357756319,14600.883703,0,0,96,193,19
1789863526458066061,14701.193335,0,0,96,193,19
1789863526558055614,14801.182978,0,0,96,193,19
