unix_ns,elapsed_ms,current_gfxclk_mhz,average_gfxclk_mhz,current_uclk_mhz,average_uclk_mhz,average_socket_power_w
1789863600423049623,12501.23413,0,0,96,193,19
1789863600523066302,12601.250839,0,0,96,193,19
1789863600623079978,12701.264355,0,0,96,193,19
1789863600722982083,12801.166951,0,0,96,193,19
1789863600823048269,12901.232947,0,0,96,193,19
1789863600923113833,13001.29843,0,0,96,193,19
1789863601023148500,13101.332937,0,0,96,193,19
1789863601123278161,13201.462558,0,0,96,193,19
1789863601222954505,13301.139242,0,0,96,193,19
1789863601322885144,13401.069861,0,0,96,193,19
1789863601422998029,13501.182886,0,0,96,193,19
1789863601522899362,13601.08423,0,0,96,193,19
1789863601623120854,13701.305581,0,0,96,193,19
1789863601723115050,13801.299667,0,0,96,193,19
1789863601823115775,13901.300342,0,0,96,193,19
1789863601922368928,14000.554496,0,0,96,193,19
1789863602022443465,14100.628944,0,0,96,193,19
1789863602122293462,14200.47878,0,0,96,193,19
1789863602223009529,14301.194297,0,0,96,193,19
1789863602323150465,14401.334992,0,0,96,193,19
1789863602423161730,14501.346267,0,0,96,193,19
1789863602522935712,14601.120409,0,0,96,193,19
1789863602623181438,14701.366045,0,0,96,193,19
1789863602722972736,14801.157434,0,0,96,193,19
1789863602823104570,14901.289448,0,0,96,193,19
1789863602923172879,15001.357636,0,0,96,193,19
1789863603022999411,15101.184268,0,0,96,193,19
1789863603123256094,15201.440681,0,0,96,193,19
1789863603222960269,15301.144946,0,0,96,193,19
1789863603323058803,15401.24336,0,0,96,193,19
1789863603423007700,15501.192457,0,0,96,193,19
1789863603522426944,15600.611771,0,0,96,193,19
1789863603623187922,15701.372719,0,0,96,193,19
1789863603722678211,15800.862889,0,0,96,193,19
1789863603823244303,15901.42877,0,0,96,193,19
1789863603922533704,16000.718571,0,0,96,193,19
1789863604022433925,16100.618753,0,0,96,193,19
1789863604122675026,16200.859543,0,0,96,193,19
1789863604222477921,16300.662789,0,0,96,193,19
1789863604323255793,16401.44061,0,0,96,193,19
1789863604422637101,16500.821618,0,0,96,193,19
1789863604522535972,16600.72077,0,0,96,193,19
1789863604623055783,16701.24056,0,0,96,193,19
1789863604722447387,16800.632214,0,0,96,193,19
1789863604823187211,16901.372048,0,0,96,193,19
1789863604923013142,17001.19779,0,0,96,193,19
1789863605022923171,17101.107478,0,0,96,193,19
1789863605122642029,17200.826516,0,0,96,193,19
