unix_ns,elapsed_ms,current_gfxclk_mhz,average_gfxclk_mhz,current_uclk_mhz,average_uclk_mhz,average_socket_power_w
1789863557791605655,12600.683745,2408,2408,1258,2517,300
1789863557891468061,12700.54569,2579,2579,1258,2517,283
1789863557991582759,12800.660208,1528,1528,875,2403,74
1789863558091560901,12900.63889,2993,2993,1258,2478,108
1789863558191552903,13000.630592,3201,3201,1258,2517,114
1789863558292206757,13101.283665,1191,1191,96,1770,59
1789863558392113543,13201.1904,0,0,96,193,19
1789863558491862086,13300.939284,0,0,96,193,19
1789863558592256137,13401.333235,0,0,96,193,19
1789863558691915409,13500.992668,0,0,96,193,19
1789863558791780121,13600.857419,0,0,96,193,19
1789863558891791955,13700.868833,0,0,96,193,19
1789863558992544016,13801.621104,0,0,96,193,19
1789863559091778533,13900.855521,0,0,96,193,19
1789863559192609615,14001.686933,0,0,96,193,19
1789863559291766143,14100.843341,0,0,96,193,19
1789863559392060850,14201.137828,0,0,96,193,19
1789863559492181261,14301.258298,0,0,96,193,19
1789863559592182386,14401.259374,0,0,96,193,19
1789863559692087667,14501.164605,0,0,96,193,19
1789863559791835950,14600.913018,0,0,96,193,19
1789863559891619126,14700.696976,0,0,96,193,19
1789863559991479039,14800.557118,0,0,96,193,19
1789863560091437160,14900.515209,0,0,96,193,19
