gemm_mq4g256v2_gate_up_silu_mmq_iu4_symfold_g12r	64	739.370
gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold_g12r	128	504.008
gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold_g12r	240	344.970
attention_fp8_e4m3_fa2_gqa_qresident_v2_q8_gfx1201	16	93.644
gdn_chunk_scan	768	76.100
fused_silu_mul_mq_rotate_awq_i4_hin_gfx12	64	73.076
fused_rmsnorm_mq_rotate_awq_i4_gfx12	128	60.099
gated_norm_mq_rotate_awq_i4_gfx12	48	47.531
gdn_chunk_prep	48	43.324
qwen35_fa_prep_fp8q_batched_gfx1201	16	19.276
gdn_chunk_kkt_solve	768	17.301
sigmoid_mul_rotate_x_mq_awq_i4_gfx12	16	11.312
fused_gate_up_mq4g256v2	64	10.017
gemv_mq4g256v2_residual	128	7.300
fused_qkvza_mq4g256v2	48	3.629
kv_cache_write_fp8_e4m3_batched	32	2.325
gemv_mq4g256v2_multirow_r2	2	2.148
__amd_rocclr_fillBufferUnAligned	192	1.305
attention_flash_fp8_e4m3_tile	16	1.218
fused_qkv_mq4g256v2	16	1.167
embedding_q8_batched	1	0.933
fused_rmsnorm_mq_rotate_awq	128	0.849
__amd_rocclr_copyBuffer	197	0.663
gated_delta_net_q8_fast	48	0.375
attention_flash_q8_0_reduce	16	0.337
fused_silu_mul_mq_rotate_awq	64	0.129
gated_norm_f32	48	0.124
rope_partial_halfsplit_f32	16	0.109
rotate_x_mq_awq	64	0.095
conv1d_silu_split_qknorm_b256	48	0.093
rmsnorm_f32	34	0.091
fused_sigmoid_alpha_gate_f32	48	0.082
repeat_interleave_qk_f32	48	0.068
kv_cache_write_fp8_e4m3	32	0.055
sample_topk_partial_fast21	2	0.055
sample_topk_finalize_fast21	2	0.035
deinterleave_f32	16	0.027
sigmoid_mul_f32	16	0.018
embedding_q8	1	0.007
mq_rotate_x	2	0.004
