run,pp2048_tok_s,pp32768_tok_s,decode_tok_s,fully_active_samples,gfx_p50_mhz,gfx_min_mhz,gfx_max_mhz,mem_p50_mhz,fclk_p50_mhz,socclk_p50_mhz,power_p50_w,edge_p50_c,edge_max_c,hotspot_p50_c,hotspot_max_c
1,1417.9,1032.0,36.52,70,2784,2602,2882,1258,2016,1280,299,70,71,90,93
2,1457.1,1031.5,36.46,71,2777,2570,2901,1258,2016,1280,299,69,71,90,92
3,1415.2,1025.8,36.36,71,2784,2588,3087,1258,2016,1280,299,70,71,90,93
4,1416.9,1029.5,36.49,71,2785,2593,3124,1258,2016,1280,300,70,71,90,93
5,1406.4,1029.4,36.47,71,2776,2597,2990,1258,2016,1280,299,70,73,90,96
6,1438.7,1028.1,36.41,71,2768,2558,2856,1258,2016,1280,300,71,73,91,96
7,1417.2,1030.4,36.47,71,2794,2584,3062,1258,2016,1280,299,70,71,90,93
