gemm_mq4g256v2_gate_up_silu_mmq_iu4_symfold	64	763.752
gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold	128	525.556
gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold	240	356.900
attention_fp8_e4m3_fa2_gqa_qresident_v2_q8_gfx1201	16	93.997
gdn_chunk_scan	768	76.405
fused_silu_mul_mq_rotate_awq_i4_hin_gfx12	64	73.154
fused_rmsnorm_mq_rotate_awq_i4_gfx12	128	60.696
gated_norm_mq_rotate_awq_i4_gfx12	48	47.757
gdn_chunk_prep	48	43.191
qwen35_fa_prep_fp8q_batched_gfx1201	16	19.319
gdn_chunk_kkt_solve	768	17.361
sigmoid_mul_rotate_x_mq_awq_i4_gfx12	16	11.306
fused_gate_up_mq4g256v2	64	10.048
gemv_mq4g256v2_residual	128	7.300
fused_qkvza_mq4g256v2	48	3.674
kv_cache_write_fp8_e4m3_batched	32	2.317
gemv_mq4g256v2_multirow_r2	2	2.161
attention_flash_fp8_e4m3_tile	16	1.198
fused_qkv_mq4g256v2	16	1.166
__amd_rocclr_fillBufferUnAligned	192	1.086
embedding_q8_batched	1	0.908
fused_rmsnorm_mq_rotate_awq	128	0.839
__amd_rocclr_copyBuffer	197	0.670
gated_delta_net_q8_fast	48	0.375
attention_flash_q8_0_reduce	16	0.336
fused_silu_mul_mq_rotate_awq	64	0.139
gated_norm_f32	48	0.131
rope_partial_halfsplit_f32	16	0.109
conv1d_silu_split_qknorm_b256	48	0.100
rotate_x_mq_awq	64	0.094
rmsnorm_f32	34	0.091
fused_sigmoid_alpha_gate_f32	48	0.083
repeat_interleave_qk_f32	48	0.062
kv_cache_write_fp8_e4m3	32	0.055
sample_topk_partial_fast21	2	0.054
sample_topk_finalize_fast21	2	0.034
deinterleave_f32	16	0.027
sigmoid_mul_f32	16	0.021
embedding_q8	1	0.007
mq_rotate_x	2	0.004
