"Node_Id","Logical_Node_Id","Agent_Type","Cpu_Cores_Count","Simd_Count","Cpu_Core_Id_Base","Simd_Id_Base","Max_Waves_Per_Simd","Lds_Size_In_Kb","Gds_Size_In_Kb","Num_Gws","Wave_Front_Size","Num_Xcc","Cu_Count","Array_Count","Num_Shader_Banks","Simd_Arrays_Per_Engine","Cu_Per_Simd_Array","Simd_Per_Cu","Max_Slots_Scratch_Cu","Gfx_Target_Version","Vendor_Id","Device_Id","Location_Id","Domain","Drm_Render_Minor","Num_Sdma_Engines","Num_Sdma_Xgmi_Engines","Num_Sdma_Queues_Per_Engine","Num_Cp_Queues","Max_Engine_Clk_Ccompute","Max_Engine_Clk_Fcompute","Sdma_Fw_Version","Fw_Version","Capability","Cu_Per_Engine","Max_Waves_Per_Cu","Family_Id","Workgroup_Max_Size","Grid_Max_Size","Local_Mem_Size","Hive_Id","Gpu_Id","Workgroup_Max_Dim_X","Workgroup_Max_Dim_Y","Workgroup_Max_Dim_Z","Grid_Max_Dim_X","Grid_Max_Dim_Y","Grid_Max_Dim_Z","Name","Vendor_Name","Product_Name","Model_Name"
0,0,"CPU",32,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5187,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,"AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","CPU","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S",""
1,1,"GPU",0,192,0,2147487744,16,64,0,64,32,1,96,12,6,2,8,2,32,110000,4098,29772,26112,0,128,2,0,6,8,5187,2526,27,632,671326848,16,32,145,1024,4294967295,0,0,27051,1024,1024,1024,2147483647,65535,65535,"gfx1100","AMD","AMD Radeon RX 7900 XTX","ip discovery"
2,2,"GPU",0,80,0,2147487840,16,64,0,64,32,1,40,4,2,2,10,2,32,110501,4098,5510,48896,0,129,1,0,6,8,5187,2900,18,34,671326848,20,32,150,1024,4294967295,0,0,5022,1024,1024,1024,2147483647,65535,65535,"gfx1151","AMD","AMD Radeon 8060S Graphics","ip discovery"
3,3,"GPU",0,80,0,2147487880,20,64,0,0,32,1,40,4,2,2,10,2,32,100100,4098,29471,28160,0,130,2,0,8,24,5187,2100,35,156,679715456,20,40,143,1024,4294967295,0,0,36501,1024,1024,1024,2147483647,65535,65535,"gfx1010","AMD","AMD Radeon RX 5700 XT","navi10"
4,4,"GPU",0,160,0,2147487920,16,64,0,64,32,1,80,8,4,2,10,2,32,100300,4098,29605,39168,0,131,4,0,8,8,5187,2720,86,132,675521152,20,32,143,1024,4294967295,0,0,32083,1024,1024,1024,2147483647,65535,65535,"gfx1030","AMD","AMD Radeon RX 6950 XT","sienna_cichlid"
