gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold	368	1097.742
gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold	128	519.987
attention_fp8_e4m3_fa2_gqa_qresident_gfx1201	16	166.835
fused_silu_mul_mq_rotate_awq_i4_gfx12	64	135.670
gdn_chunk_scan	768	76.108
fused_rmsnorm_mq_rotate_awq_i4_gfx12	128	59.908
gated_norm_mq_rotate_awq_i4_gfx12	48	47.550
gdn_chunk_prep	48	43.277
deinterleave_q_rmsnorm_f32_batched	16	22.426
gdn_chunk_kkt_solve	768	17.409
sigmoid_mul_rotate_x_mq_awq_i4_gfx12	16	11.821
fused_gate_up_mq4g256v2	64	10.729
gemv_mq4g256v2_residual	128	7.563
rope_partial_halfsplit_batched_f32	16	5.948
fused_qkvza_mq4g256v2	48	4.126
rmsnorm_f32	50	3.900
kv_cache_write_fp8_e4m3_batched	32	2.731
gemv_mq4g256v2_multirow_r2	2	2.202
fused_qkv_mq4g256v2	16	1.359
attention_flash_fp8_e4m3_tile	16	1.155
embedding_q8_batched	1	0.900
fused_rmsnorm_mq_rotate_awq	128	0.861
__amd_rocclr_fillBufferUnAligned	192	0.813
__amd_rocclr_copyBuffer	197	0.668
gated_delta_net_q8_fast	48	0.511
gated_norm_f32	48	0.387
repeat_interleave_qk_f32	48	0.381
attention_flash_q8_0_reduce	16	0.340
conv1d_silu_split_qknorm_b256	48	0.263
rope_partial_halfsplit_f32	16	0.229
fused_silu_mul_mq_rotate_awq	64	0.123
rotate_x_mq_awq	64	0.106
fused_sigmoid_alpha_gate_f32	48	0.093
sample_topk_partial_fast21	2	0.054
kv_cache_write_fp8_e4m3	32	0.054
sample_topk_finalize_fast21	2	0.038
deinterleave_f32	16	0.023
sigmoid_mul_f32	16	0.020
embedding_q8	1	0.007
mq_rotate_x	2	0.004
