"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
13,42528,"v_dual_mul_f32 v102, v102, v22 :: v_dual_mul_f32 v99, v99, v22",24798,36879,12081,1656,""
13,42536,"v_fma_f32 v214, -v219, v144, 1.0",24798,39800,15002,4761,""
13,42544,"v_dual_mul_f32 v100, v100, v22 :: v_dual_mul_f32 v97, v97, v22",24798,43670,18872,9,""
13,42552,"v_dual_mul_f32 v98, v98, v22 :: v_dual_mul_f32 v95, v95, v22",24798,32052,7254,14860,""
13,42560,"s_delay_alu instid0(VALU_DEP_3) | instskip(SKIP_4) | instid1(VALU_DEP_4)",0,0,0,0,""
13,42564,"v_fmac_f32_e32 v144, v214, v144",24798,40275,15477,60247,""
13,42568,"v_fmac_f32_e32 v216, v212, v213",24798,38354,13556,1,""
13,42572,"v_div_scale_f32 v212, s5, v140, v19, v140",24798,36744,11946,22,""
13,42580,"v_div_scale_f32 v214, s4, v139, v19, v139",24798,40531,15733,0,""
13,42588,"v_dual_mul_f32 v96, v96, v22 :: v_dual_mul_f32 v93, v93, v22",24798,33859,9061,8890,""
13,42596,"v_fma_f32 v143, -v211, v216, v215",24798,41419,16621,27975,""
13,42604,"s_delay_alu instid0(VALU_DEP_4)",0,0,0,0,""
13,42608,"v_mul_f32_e32 v211, v212, v218",24798,43632,18834,2756,""
13,42612,"v_dual_mul_f32 v94, v94, v22 :: v_dual_mul_f32 v91, v91, v22",24798,40696,15898,0,""
13,42620,"v_dual_mul_f32 v92, v92, v22 :: v_dual_mul_f32 v89, v89, v22",24798,37349,12551,55,""
13,42628,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
13,42632,"v_div_fmas_f32 v143, v143, v213, v216",24798,37908,13110,0,""
13,42640,"v_div_scale_f32 v213, null, v19, v19, v138",24798,39995,15197,43,""
13,42648,"v_fma_f32 v215, -v217, v211, v212",24798,39988,15190,0,""
13,42656,"v_div_scale_f32 v216, null, v19, v19, v137",24798,24798,0,22900,""
13,42664,"s_mov_b32 vcc_lo, s5",24798,25269,471,481405,""
13,42668,"v_div_fixup_f32 v141, v143, v19, v141",24798,51679,26881,0,""
13,42676,"v_rcp_f32_e32 v143, v213",24798,122721,23529,0,""
13,42680,"v_fmac_f32_e32 v211, v215, v218",24798,34383,9585,0,""
