gemm_mq4g256v2_gate_up_silu_mmq_iu4_symfold	64	756.432
gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold	128	521.390
gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold	96	247.346
attention_fp8_e4m3_fa2_gqa_qresident_gfx1201	16	167.354
gemm_mq4g256v2_zba_set_mmq_iu4_symfold	48	102.728
gdn_chunk_scan	768	76.496
fused_silu_mul_mq_rotate_awq_i4_hin_gfx12	64	72.910
fused_rmsnorm_mq_rotate_awq_i4_gfx12	128	60.222
gated_norm_mq_rotate_awq_i4_gfx12	48	47.738
gdn_chunk_prep	48	43.333
deinterleave_q_rmsnorm_f32_batched	16	22.441
gdn_chunk_kkt_solve	768	17.430
sigmoid_mul_rotate_x_mq_awq_i4_gfx12	16	11.777
fused_gate_up_mq4g256v2	64	10.063
gemv_mq4g256v2_residual	128	7.287
rope_partial_halfsplit_batched_f32	16	5.509
rmsnorm_f32	50	3.740
fused_qkvza_mq4g256v2	48	3.702
kv_cache_write_fp8_e4m3_batched	32	3.127
gemv_mq4g256v2_multirow_r2	2	2.162
attention_flash_fp8_e4m3_tile	16	1.176
fused_qkv_mq4g256v2	16	1.161
embedding_q8_batched	1	0.874
fused_rmsnorm_mq_rotate_awq	128	0.830
__amd_rocclr_copyBuffer	197	0.662
__amd_rocclr_fillBufferUnAligned	192	0.577
gated_delta_net_q8_fast	48	0.373
attention_flash_q8_0_reduce	16	0.335
fused_silu_mul_mq_rotate_awq	64	0.129
gated_norm_f32	48	0.122
rope_partial_halfsplit_f32	16	0.108
rotate_x_mq_awq	64	0.093
conv1d_silu_split_qknorm_b256	48	0.093
fused_sigmoid_alpha_gate_f32	48	0.084
repeat_interleave_qk_f32	48	0.066
sample_topk_partial_fast21	2	0.054
kv_cache_write_fp8_e4m3	32	0.053
sample_topk_finalize_fast21	2	0.035
deinterleave_f32	16	0.027
sigmoid_mul_f32	16	0.018
embedding_q8	1	0.007
mq_rotate_x	2	0.004
