gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold	224	996.548
gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold	128	524.400
attention_fp8_e4m3_fa2_gqa_qresident_gfx1201	16	167.656
fused_silu_mul_mq_rotate_awq_i4_gfx12	64	135.385
gemm_mq4g256v2_zba_set_mmq_iu4_symfold	48	102.464
gdn_chunk_scan	768	76.419
fused_rmsnorm_mq_rotate_awq_i4_gfx12	128	60.090
gated_norm_mq_rotate_awq_i4_gfx12	48	47.840
gdn_chunk_prep	48	43.344
deinterleave_q_rmsnorm_f32_batched	16	22.401
gdn_chunk_kkt_solve	768	17.472
sigmoid_mul_rotate_x_mq_awq_i4_gfx12	16	11.786
fused_gate_up_mq4g256v2	64	10.020
gemv_mq4g256v2_residual	128	7.302
rope_partial_halfsplit_batched_f32	16	5.552
rmsnorm_f32	50	3.755
fused_qkvza_mq4g256v2	48	3.669
kv_cache_write_fp8_e4m3_batched	32	2.529
gemv_mq4g256v2_multirow_r2	2	2.148
attention_flash_fp8_e4m3_tile	16	1.222
fused_qkv_mq4g256v2	16	1.159
__amd_rocclr_fillBufferUnAligned	192	0.926
embedding_q8_batched	1	0.878
fused_rmsnorm_mq_rotate_awq	128	0.850
__amd_rocclr_copyBuffer	197	0.663
gated_delta_net_q8_fast	48	0.376
attention_flash_q8_0_reduce	16	0.338
fused_silu_mul_mq_rotate_awq	64	0.130
gated_norm_f32	48	0.124
rope_partial_halfsplit_f32	16	0.110
rotate_x_mq_awq	64	0.095
conv1d_silu_split_qknorm_b256	48	0.093
fused_sigmoid_alpha_gate_f32	48	0.085
repeat_interleave_qk_f32	48	0.068
kv_cache_write_fp8_e4m3	32	0.055
sample_topk_partial_fast21	2	0.054
sample_topk_finalize_fast21	2	0.034
deinterleave_f32	16	0.027
sigmoid_mul_f32	16	0.021
embedding_q8	1	0.007
mq_rotate_x	2	0.004
